,price,balcony,swimming_pool,new_construction,terrace,exclusive,loft,garden_patio,wheelchair_access,common_outdoor_space,GoldSachs_Dist,AdeccoGroup_Dist,LiveNation_Dist,Zillow_Dist,BlackStone_Dist,VoyaFinancial_Dist,HorizonMedia_Dist,ErnstYoung_Dist,Protiviti_Dist,Accenture_Dist
GoldSachs_Dist,-0.15634830948449305,-0.023975962796241344,-0.051892670920103454,-0.1071777992947369,-0.030712741084487242,0.021202253973854435,-0.06763903231904302,-0.014196328307350873,-0.126558917379607,-0.1762265340016669,1.0,0.3864462660583421,0.552982300932792,,0.9926814532210272,0.997518283458941,0.998958153725927,0.3785428197855454,0.3880098215542675,0.9989570710610127
AdeccoGroup_Dist,-0.12638556672180576,-0.08617518056847201,-0.06668492240270998,-0.09372771530938835,-0.04700944388131304,0.01590917864902093,-0.02059388363106902,-0.06281453102119347,-0.00750873870215926,0.02097228709708419,0.3864462660583421,1.0,0.3176285999027106,,0.38361804098263474,0.38548721596763463,0.3860436484559198,0.96489703979877,0.9906199739389612,0.3860432300641063
LiveNation_Dist,-0.14585236600313584,-0.008615482561159826,0.023508326772605507,-0.010702850249551171,-0.006030613839549701,-0.0009266670319599932,-0.04428060191682754,-0.031003914136028144,-0.004173764667076266,-0.015846195727799904,0.552982300932792,0.3176285999027106,1.0,,0.5489352740954714,0.5516099556096542,0.5524061783829368,0.3111325853347869,0.31891372020703257,0.5524055796884014
Zillow_Dist,,,,,,,,,,,,,,1.0,,,,,,
BlackStone_Dist,-0.15349507035032814,-0.023816108304234567,-0.05069225628920914,-0.10531384099277266,-0.031143226467223867,0.02144173289932027,-0.06637218835908017,-0.013909720071701296,-0.1271036038956636,-0.18103844443359274,0.9926814532210272,0.38361804098263474,0.5489352740954714,,1.0,0.9876275984338726,0.9906274113588568,0.3757724364511007,0.3851701535245218,0.9906263377227517
VoyaFinancial_Dist,-0.1569087506854485,-0.02361331327832051,-0.052688242215921166,-0.10919920437307007,-0.03017630785490944,0.020955540675325273,-0.0683571283403191,-0.01395261038251329,-0.12667574186405373,-0.17530276673113288,0.997518283458941,0.38548721596763463,0.5516099556096542,,0.9876275984338726,1.0,0.9962682820017184,0.37760338380818453,0.38704689116202295,0.9962672022520711
HorizonMedia_Dist,-0.156523923472557,-0.023861830563487275,-0.0515777565017992,-0.10699232581121641,-0.030637939012386844,0.021044843755045187,-0.06733893419078593,-0.014128650301413817,-0.12585429222970876,-0.17550211827439063,0.998958153725927,0.3860436484559198,0.5524061783829368,,0.9906274113588568,0.9962682820017184,1.0,0.3781484363591748,0.3876055749673775,0.999998916205939
ErnstYoung_Dist,-0.12086200014397837,-0.08803062435122702,-0.0651392309606661,-0.08040770689975066,-0.04504239865369651,0.016250006022033282,-0.020644425694313823,-0.06200132131660389,-0.004579761837914692,0.022029167852800177,0.3785428197855454,0.96489703979877,0.3111325853347869,,0.3757724364511007,0.37760338380818453,0.3781484363591748,1.0,0.9698456686976323,0.37814802652414525
Protiviti_Dist,-0.12625590012118768,-0.08318647979774721,-0.06769414748750995,-0.09199581275698199,-0.044449532248815905,0.015405002022421992,-0.021906901125298774,-0.0630421751691326,-0.007794172383446324,0.021609286210749108,0.3880098215542675,0.9906199739389612,0.31891372020703257,,0.3851701535245218,0.38704689116202295,0.3876055749673775,0.9698456686976323,1.0,0.3876051548827573
Accenture_Dist,-0.15652276375509588,-0.023861714610857152,-0.05157757913179931,-0.10699175547309574,-0.030637671264316556,0.021045104425469665,-0.06733872616846942,-0.014128561800758084,-0.12585406314466102,-0.17550155602904935,0.9989570710610127,0.3860432300641063,0.5524055796884014,,0.9906263377227517,0.9962672022520711,0.999998916205939,0.37814802652414525,0.3876051548827573,1.0
